 TIDAL FACTORS STARTING:  HR- 0.00,  DAY- 23,  MONTH-  8  YEAR- 2008

 FOR A RUN LASTING    27.00 DAYS


 CONST   NODE     EQ ARG (ref GM)
 NAME   FACTOR    (DEG) 


 K1    1.08941     247.06
 O1    1.14473     316.27
 P1    1.00000     118.34
 Q1    1.14473     341.65
 N2    0.97295     230.92
 M2    0.97295     205.54
 S2    1.00000       0.00
 K2    1.23556     314.67
 MF    1.34547     112.99
 MM    0.90490     334.62
 M4    0.94664      51.08
 MS4   0.97295     205.54
 MN4   0.94664      76.46
